City,County,Phone Number,Provider Name,State,Street Address,Zipcode,Service Type
PEKIN,TAZEWELL,(309) 347-6514,MARIGOLD ESTATES,IL,3240 BARNEY AVE,61554,Intermediate Care Facility Services
LIBERTYVILLE,LAKE,(847) 362-4636,BENJAMIN GREEN-FIELD RESIDENCE,IL,PO BOX 520,60048,Intermediate Care Facility Services
PEKIN,TAZEWELL,(309) 347-2609,DAVIES SQUARE,IL,1817 CRESENT DR,61554,Intermediate Care Facility Services
PARIS,EDGAR,(217) 463-1809,HIGHVIEW TERRACE,IL,409 N HIGH ST,61944,Intermediate Care Facility Services
PANA,CHRISTIAN,(217) 562-7023,PARK PLACE,IL,205 PARK AVE,62557,Intermediate Care Facility Services
PALOS HTS,COOK,(708) 371-0800,BETHSHAN ASSOCIATION,IL,12927 S MONITOR,60463,Intermediate Care Facility Services
OTTAWA,LASALLE,(815) 434-4443,KANTHAK HOUSE,IL,724 2ND AVE,61350,Intermediate Care Facility Services
OREGON,OGLE,(815) 732-3178,STOUFFER TERRACE,IL,910 S 5TH ST,61061,Intermediate Care Facility Services
OAK FOREST,COOK,(708) 687-2038,BJORKLUND HOUSE,IL,15841 TERRACE DR,60452,Intermediate Care Facility Services
NORTH CHICAGO,LAKE,(847) 473-0229,SEYMOUR TERRACE,IL,1504 16TH STR,60064,Intermediate Care Facility Services
PARIS,EDGAR,(217) 463-4444,TANNER PLACE,IL,321 CHESTNUT ST,61944,Intermediate Care Facility Services
ELGIN,KANE,(847) 741-1609,MARKLUND WASMOND HOME,IL,1435 SUMMIT STREET,60120,Intermediate Care Facility Services
LEBANON,ST. CLAIR,(618) 537-4133,LEBANON TERRACE,IL,221 E 3RD ST,62254,Intermediate Care Facility Services
LAKE ZURICH,LAKE,(847) 438-5050,MOUNT ST. JOSEPH,IL,24955 N. HIGHWAY 12,60047,Intermediate Care Facility Services
GENEVA,KANE,(630) 593-5483,MARKLUND HAVERKAMPF HOME,IL,1 S 394 WYATT DRIVE,60134,Intermediate Care Facility Services
GENEVA,KANE,(630) 593-5463,MARKLUND VAN DER MOLEN HOME,IL,1 S 406 WYATT DRIVE,60134,Intermediate Care Facility Services
GENEVA,KANE,(630) 593-5463,MARKLUND TOMMY HOME,IL,1 S 385 WYATT DRIVE,60134,Intermediate Care Facility Services
GENEVA,KANE,(630) 593-5168,MARKLUND DREHER HOME,IL,1 SOUTH 382 WYATT DRIVE,60134,Intermediate Care Facility Services
GENEVA,KANE,(630) 593-5161,MARKLUND RICHARD HOME,IL,1 SOUTH 410 WYATT DRIVE,60134,Intermediate Care Facility Services
GALESBURG,KNOX,(309) 344-2337,WALSH TERRACE,IL,2016 WINDISH DR,61401,Intermediate Care Facility Services
GALESBURG,KNOX,(309) 344-1950,STEVENS HOUSE,IL,2182 WINDISH DR,61401,Intermediate Care Facility Services
GALESBURG,KNOX,(309) 343-3801,PLONKA TERRACE,IL,184 MAPLE AVE,61401,Intermediate Care Facility Services
GALESBURG,KNOX,(309) 342-8985,TRULSON HOUSE,IL,260 S MICHIGAN AVE,61401,Intermediate Care Facility Services
GALESBURG,KNOX,(309) 342-8893,FROEHLICH HOUSE,IL,356 S MICHIGAN AVE,61401,Intermediate Care Facility Services
FREEPORT,STEPHENSON,(815) 232-8729,RIDGE TERRACE,IL,2911 HIGHLANDVIEW DR,61032,Intermediate Care Facility Services
FREEPORT,STEPHENSON,(815) 232-8713,FREEPORT TERRACE,IL,2942 HIGHLANDVIEW DR,61032,Intermediate Care Facility Services
FREEBURG,ST. CLAIR,(618) 539-4882,FREEBURG TERRACE,IL,#4 HILL MINE RD,62243,Intermediate Care Facility Services
FRANKLIN GROVE,LEE,(815) 456-2708,FRANKLIN GROVE GROUP HOME,IL,PO BOX 5,61031,Intermediate Care Facility Services
FLOSSMOOR,COOK,(708) 922-1373,FLOSSMOOR TERRACE,IL,3951 W 190TH ST,60422,Intermediate Care Facility Services
GENEVA,KANE,(630) 593-5496,MARKLUND SAYERS HOME,IL,1 S 383 WYATT DRIVE,60134,Intermediate Care Facility Services
GODFREY,MADISON,(618) 466-0367,BEVERLY FARM FOUNDATION,IL,6301 HUMBERT RD,62035,Intermediate Care Facility Services
GODFREY,MADISON,(618) 466-5255,TWIN RIVERS ESTATE,IL,4710 PIERCE LN,62035,Intermediate Care Facility Services
GODFREY,MADISON,(618) 466-9242,PIASA MANOR,IL,110 N ALBY COURT,62035,Intermediate Care Facility Services
KANKAKEE,KANKAKEE,(815) 939-4492,STATION COURT,IL,275 W STATION ST,60901,Intermediate Care Facility Services
KANKAKEE,KANKAKEE,(815) 939-1011,HUNT TERRACE,IL,1180 S 4TH ST,60901,Intermediate Care Facility Services
KANKAKEE,KANKAKEE,(815) 936-0905,KANKAKEE COURT,IL,260 S CHICAGO AVE,60901,Intermediate Care Facility Services
KANKAKEE,KANKAKEE,(815) 933-7374,DEARBORN COURT,IL,520 S DEARBORN ST,60901,Intermediate Care Facility Services
KANKAKEE,KANKAKEE,(815) 933-2700,RIVER COURT,IL,760 E RIVER ST,60901,Intermediate Care Facility Services
KANKAKEE,KANKAKEE,(815) 932-9369,EAGLE COURT,IL,1890 E EAGLE ST,60901,Intermediate Care Facility Services
JOLIET,WILL,(815) 485-6197,TRINITY LIVING CENTER #2,IL,3302 HORSESHOE LN,60432,Intermediate Care Facility Services
LANARK,CARROLL,(815) 493-6555,GORDON JONES TERRACE,IL,421 N ROCHESTER ST,61046,Intermediate Care Facility Services
JOLIET,WILL,(815) 485-6197,TRINITY LIVING CENTER #1,IL,3360 UGLAND DR,60432,Intermediate Care Facility Services
JACKSONVILLE,MORGAN,(217) 245-9898,ALVIN EADES CENTER,IL,1000A W MICHIGAN,62650,Intermediate Care Facility Services
JACKSONVILLE,MORGAN,(217) 245-8001,CAMPBELL COURT,IL,426 E DOUGLAS,62650,Intermediate Care Facility Services
JACKSONVILLE,MORGAN,(217) 245-5566,ANNA TERRACE,IL,408 ANNA ST,62650,Intermediate Care Facility Services
JACKSONVILLE,MORGAN,(217) 245-0818,DOUGLAS TERRACE,IL,324 E DOUGLAS AVE,62650,Intermediate Care Facility Services
HOYLETON,WASHINGTON,(618) 493-6071,JOSHUA MANOR,IL,120 W LOCUST ST,62803,Intermediate Care Facility Services
GURNEE,LAKE,(847) 855-9450,CLEARBROOK - WRIGHT HOME,IL,34377 N ALMOND RD,60031,Intermediate Care Facility Services
GREENVILLE,BOND,(618) 664-1444,BRAUNS TERRACE,IL,1115 E WASHINGTON ST,62246,Intermediate Care Facility Services
JERSEYVILLE,JERSEY,(618) 498-5242,VAHLE TERRACE,IL,301 MAPLE SUMMIT RD,62052,Intermediate Care Facility Services
JACKSONVILLE,MORGAN,(217) 245-8200,LAFAYETTE TERRACE,IL,826 W LAFAYETTE,62650,Intermediate Care Facility Services
